system:index,NDVI_mean,cloud_cover_land,col,date,image_id,lat,lon,lst,max_lat,max_lon,min_lat,min_lon,row,scene_id,tile_id,.geo
1_5,0.507336453389006,4.36,1.0,2022-08-22,tile_r0_c1_2022-08-22,12.884998666122844,80.13749999999388,43.86075442204192,12.92,80.15,12.85,80.125,0.0,LC09_L2SP_142051_20220822_20230401_02_T1,tile_r0_c1,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[80.125,12.85],[80.15,12.85],[80.15,12.92],[80.125,12.92],[80.125,12.85]]]}"
1_6,0.5015924151593786,16.48,1.0,2022-02-03,tile_r0_c1_2022-02-03,12.884998666122844,80.13749999999388,30.567485958463656,12.92,80.15,12.85,80.125,0.0,LC08_L2SP_142051_20220203_20220212_02_T1,tile_r0_c1,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[80.125,12.85],[80.15,12.85],[80.15,12.92],[80.125,12.92],[80.125,12.85]]]}"
1_7,0.5514243286614272,18.06,1.0,2022-12-28,tile_r0_c1_2022-12-28,12.884998666122844,80.13749999999388,32.275600408198,12.92,80.15,12.85,80.125,0.0,LC09_L2SP_142051_20221228_20230316_02_T1,tile_r0_c1,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[80.125,12.85],[80.15,12.85],[80.15,12.92],[80.125,12.92],[80.125,12.85]]]}"
1_8,0.37778938448158345,19.23,1.0,2022-05-02,tile_r0_c1_2022-05-02,12.884998666122844,80.13749999999388,33.38625179267562,12.92,80.15,12.85,80.125,0.0,LC09_L2SP_142051_20220502_20230418_02_T1,tile_r0_c1,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[80.125,12.85],[80.15,12.85],[80.15,12.92],[80.125,12.92],[80.125,12.85]]]}"
1_9,0.5509042879337928,19.39,1.0,2022-01-10,tile_r0_c1_2022-01-10,12.884998666122844,80.13749999999388,31.638792105933685,12.92,80.15,12.85,80.125,0.0,LC09_L2SP_142051_20220110_20230502_02_T1,tile_r0_c1,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[80.125,12.85],[80.15,12.85],[80.15,12.92],[80.125,12.92],[80.125,12.85]]]}"
2_0,0.37860162875017733,0.06,2.0,2022-03-31,tile_r0_c2_2022-03-31,12.884998666121684,80.16249999999218,41.52355764032469,12.92,80.175,12.85,80.14999999999999,0.0,LC09_L2SP_142051_20220331_20230423_02_T1,tile_r0_c2,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[80.14999999999999,12.85],[80.175,12.85],[80.175,12.92],[80.14999999999999,12.92],[80.14999999999999,12.85]]]}"
2_1,0.5308124444665124,0.23,2.0,2022-10-25,tile_r0_c2_2022-10-25,12.884998666121684,80.16249999999218,36.84157179313267,12.92,80.175,12.85,80.14999999999999,0.0,LC09_L2SP_142051_20221025_20230324_02_T1,tile_r0_c2,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[80.14999999999999,12.85],[80.175,12.85],[80.175,12.92],[80.14999999999999,12.92],[80.14999999999999,12.85]]]}"
2_2,0.40813947451038546,0.69,2.0,2022-05-26,tile_r0_c2_2022-05-26,12.884998666121684,80.16249999999218,43.240415264679996,12.92,80.175,12.85,80.14999999999999,0.0,LC08_L2SP_142051_20220526_20220602_02_T1,tile_r0_c2,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[80.14999999999999,12.85],[80.175,12.85],[80.175,12.92],[80.14999999999999,12.92],[80.14999999999999,12.85]]]}"
2_3,0.5184078629008817,1.2,2.0,2022-09-23,tile_r0_c2_2022-09-23,12.884998666121684,80.16249999999218,42.77557024268691,12.92,80.175,12.85,80.14999999999999,0.0,LC09_L2SP_142051_20220923_20230328_02_T1,tile_r0_c2,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[80.14999999999999,12.85],[80.175,12.85],[80.175,12.92],[80.14999999999999,12.92],[80.14999999999999,12.85]]]}"
2_4,0.37111041856552646,1.24,2.0,2022-06-03,tile_r0_c2_2022-06-03,12.884998666121684,80.16249999999218,52.95677455299091,12.92,80.175,12.85,80.14999999999999,0.0,LC09_L2SP_142051_20220603_20230414_02_T1,tile_r0_c2,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[80.14999999999999,12.85],[80.175,12.85],[80.175,12.92],[80.14999999999999,12.92],[80.14999999999999,12.85]]]}"
