image_id,date,tile_id,lst,lat,lon,NDVI_mean,scene_id,cloud_cover_land
tile_r0_c2_2022-01-10,2022-01-10,tile_r0_c2,31.098249661717777,12.884998666121684,80.16249999999218,0.5044168526247262,LC09_L2SP_142051_20220110_20230502_02_T1,19.39
tile_r0_c3_2022-03-31,2022-03-31,tile_r0_c3,41.39134737136784,12.88499866612279,80.18749999999957,0.3679817862293047,LC09_L2SP_142051_20220331_20230423_02_T1,0.06
tile_r0_c3_2022-10-25,2022-10-25,tile_r0_c3,37.099531870437424,12.88499866612279,80.18749999999957,0.5188518951153406,LC09_L2SP_142051_20221025_20230324_02_T1,0.23
tile_r0_c3_2022-05-26,2022-05-26,tile_r0_c3,43.362938672360194,12.88499866612279,80.18749999999957,0.3846289155580494,LC08_L2SP_142051_20220526_20220602_02_T1,0.69
tile_r0_c3_2022-09-23,2022-09-23,tile_r0_c3,42.89890020853808,12.88499866612279,80.18749999999957,0.4988961980120009,LC09_L2SP_142051_20220923_20230328_02_T1,1.2
tile_r0_c3_2022-06-03,2022-06-03,tile_r0_c3,52.97046424879218,12.88499866612279,80.18749999999957,0.3493855856764546,LC09_L2SP_142051_20220603_20230414_02_T1,1.24
tile_r0_c3_2022-08-22,2022-08-22,tile_r0_c3,43.455583521975896,12.88499866612279,80.18749999999957,0.4800774796819184,LC09_L2SP_142051_20220822_20230401_02_T1,4.36
tile_r0_c3_2022-02-03,2022-02-03,tile_r0_c3,30.56267313717046,12.88499866612279,80.18749999999957,0.4885717238841308,LC08_L2SP_142051_20220203_20220212_02_T1,16.48
tile_r0_c3_2022-12-28,2022-12-28,tile_r0_c3,32.64874432625541,12.88499866612279,80.18749999999957,0.44540166383899,LC09_L2SP_142051_20221228_20230316_02_T1,18.06
tile_r0_c3_2022-05-02,2022-05-02,tile_r0_c3,33.384578635509286,12.88499866612279,80.18749999999957,0.3463329276713086,LC09_L2SP_142051_20220502_20230418_02_T1,19.23
tile_r0_c3_2022-01-10,2022-01-10,tile_r0_c3,32.734409793075415,12.88499866612279,80.18749999999957,0.5159006755922939,LC09_L2SP_142051_20220110_20230502_02_T1,19.39
tile_r0_c4_2022-03-31,2022-03-31,tile_r0_c4,41.82260560281309,12.884998666122724,80.21249999998936,0.3747871641393326,LC09_L2SP_142051_20220331_20230423_02_T1,0.06
tile_r0_c4_2022-10-25,2022-10-25,tile_r0_c4,36.56490869442418,12.884998666122724,80.21249999998936,0.5227083757806922,LC09_L2SP_142051_20221025_20230324_02_T1,0.23
tile_r0_c4_2022-05-26,2022-05-26,tile_r0_c4,44.28915878469352,12.884998666122724,80.21249999998936,0.3688361697393512,LC08_L2SP_142051_20220526_20220602_02_T1,0.69
tile_r0_c4_2022-09-23,2022-09-23,tile_r0_c4,42.674122939059984,12.884998666122724,80.21249999998936,0.4976381473056277,LC09_L2SP_142051_20220923_20230328_02_T1,1.2
tile_r0_c4_2022-06-03,2022-06-03,tile_r0_c4,54.61090734050913,12.884998666122724,80.21249999998936,0.3389432930414909,LC09_L2SP_142051_20220603_20230414_02_T1,1.24
tile_r0_c4_2022-08-22,2022-08-22,tile_r0_c4,43.51246642738042,12.884998666122724,80.21249999998936,0.46590981736128,LC09_L2SP_142051_20220822_20230401_02_T1,4.36
tile_r0_c4_2022-02-03,2022-02-03,tile_r0_c4,30.9373097588476,12.884998666122724,80.21249999998936,0.4700728107608828,LC08_L2SP_142051_20220203_20220212_02_T1,16.48
tile_r0_c4_2022-12-28,2022-12-28,tile_r0_c4,33.08442795202436,12.884998666122724,80.21249999998936,0.5197684249590775,LC09_L2SP_142051_20221228_20230316_02_T1,18.06
tile_r0_c4_2022-05-02,2022-05-02,tile_r0_c4,34.511269921123585,12.884998666122724,80.21249999998936,0.3707598809656842,LC09_L2SP_142051_20220502_20230418_02_T1,19.23
tile_r0_c4_2022-01-10,2022-01-10,tile_r0_c4,33.5430448658457,12.884998666122724,80.21249999998936,0.517354815932799,LC09_L2SP_142051_20220110_20230502_02_T1,19.39
tile_r0_c5_2022-03-31,2022-03-31,tile_r0_c5,41.15058037350907,12.884998666122344,80.2375000000061,0.3735196103097348,LC09_L2SP_142051_20220331_20230423_02_T1,0.06
tile_r0_c5_2022-10-25,2022-10-25,tile_r0_c5,36.922121928351885,12.884998666122344,80.2375000000061,0.5294588987892992,LC09_L2SP_142051_20221025_20230324_02_T1,0.23
tile_r0_c5_2022-05-26,2022-05-26,tile_r0_c5,43.77857854453548,12.884998666122344,80.2375000000061,0.3831265804299362,LC08_L2SP_142051_20220526_20220602_02_T1,0.69
tile_r0_c5_2022-09-23,2022-09-23,tile_r0_c5,42.99677666608382,12.884998666122344,80.2375000000061,0.5021050165328377,LC09_L2SP_142051_20220923_20230328_02_T1,1.2
tile_r0_c5_2022-06-03,2022-06-03,tile_r0_c5,53.531470961967216,12.884998666122344,80.2375000000061,0.356211068156281,LC09_L2SP_142051_20220603_20230414_02_T1,1.24
tile_r0_c5_2022-08-22,2022-08-22,tile_r0_c5,42.89652143650365,12.884998666122344,80.2375000000061,0.4691318643453588,LC09_L2SP_142051_20220822_20230401_02_T1,4.36
tile_r0_c5_2022-02-03,2022-02-03,tile_r0_c5,32.241275376507744,12.884998666122344,80.2375000000061,0.4766907488198355,LC08_L2SP_142051_20220203_20220212_02_T1,16.48
