lat,lon,NDVI_mean,cloud_cover_land,temperature_2m,relativehumidity_2m,windspeed_10m,scene_id_LC08_L2SP_142051_20220203_20220212_02_T1,scene_id_LC08_L2SP_142051_20220526_20220602_02_T1,scene_id_LC09_L2SP_142051_20220110_20230502_02_T1,scene_id_LC09_L2SP_142051_20220331_20230423_02_T1,scene_id_LC09_L2SP_142051_20220502_20230418_02_T1,scene_id_LC09_L2SP_142051_20220603_20230414_02_T1,scene_id_LC09_L2SP_142051_20220822_20230401_02_T1,scene_id_LC09_L2SP_142051_20220923_20230328_02_T1,scene_id_LC09_L2SP_142051_20221025_20230324_02_T1,scene_id_LC09_L2SP_142051_20221228_20230316_02_T1,image_id,label_class,lst
1.0032863428932615e-11,5.059064278611913e-12,0.6354970926936712,0.0,0.7196215139442232,0.4405405405405407,0.3443976115208992,False,False,False,True,False,False,False,False,False,False,tile_r0_c0_2022-03-31,2,41.32894863042022
1.0032863428932615e-11,5.059064278611913e-12,0.6852840828309807,0.008794619762027936,0.19820717131474153,0.3081081081081085,0.05637513171759756,False,False,False,False,False,False,False,False,True,False,tile_r0_c0_2022-10-25,2,36.58038021068298
1.0032863428932615e-11,5.059064278611913e-12,0.6581567608102499,0.03259182617692705,0.7913346613545817,0.26756756756756817,0.23234984193888308,False,True,False,False,False,False,False,False,False,False,tile_r0_c0_2022-05-26,2,40.721217607155886
1.0032863428932615e-11,5.059064278611913e-12,0.6766207283985709,0.058975685463010866,0.6827689243027892,0.15810810810810816,0.17334035827186522,False,False,False,False,False,False,False,True,False,False,tile_r0_c0_2022-09-23,2,43.97822859623148
1.0032863428932615e-11,5.059064278611913e-12,0.6432933860914256,0.06104500775995861,0.9999999999999996,0.02837837837837842,0.20600632244467865,False,False,False,False,False,True,False,False,False,False,tile_r0_c0_2022-06-03,2,51.59607061196861
1.0032863428932615e-11,5.059064278611913e-12,0.679100960107637,0.2224521469218831,0.5756972111553789,0.4770270270270274,0.22532490340709527,False,False,False,False,False,False,True,False,False,False,tile_r0_c0_2022-08-22,2,43.78273399772311
1.0032863428932615e-11,5.059064278611913e-12,0.6698982358917307,0.8494568028970512,0.04083665338645437,0.5689189189189188,0.10677906568317536,True,False,False,False,False,False,False,False,False,False,tile_r0_c0_2022-02-03,1,30.85442544183966
1.0032863428932615e-11,5.059064278611913e-12,0.6877068612065085,0.9311950336264873,0.11055776892430247,0.9189189189189189,0.03126097646645598,False,False,False,False,False,False,False,False,False,True,tile_r0_c0_2022-12-28,1,32.490013099372675
1.0032863428932615e-11,5.059064278611913e-12,0.6543207742932008,0.991722710812209,0.869521912350598,0.5351351351351354,0.1645591851071304,False,False,False,False,True,False,False,False,False,False,tile_r0_c0_2022-05-02,0,29.926972675122208
1.0032863428932615e-11,5.059064278611913e-12,0.6802697627745451,1.0,0.14392430278884438,0.6459459459459458,0.039866526167896044,False,False,True,False,False,False,False,False,False,False,tile_r0_c0_2022-01-10,1,31.171571231770542
4.142464149481384e-12,0.11111111105424243,0.6304266756595053,0.0,0.7196215139442232,0.4405405405405407,0.3443976115208992,False,False,False,True,False,False,False,False,False,False,tile_r0_c1_2022-03-31,2,41.53284609494591
4.142464149481384e-12,0.11111111105424243,0.6834358687315568,0.008794619762027936,0.19820717131474153,0.3081081081081085,0.05637513171759756,False,False,False,False,False,False,False,False,True,False,tile_r0_c1_2022-10-25,2,36.72689326760877
